> Task :compileJava
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] immortal_chariot vs. teacher08a on streetsofnewyork
[B: #12917@80] Sensed 0 robots
[B: #11406@80] Can sense kingLoc [55, 28] ? false at distSquared 169
[B: #11118@80] Sensed 0 robots
[B: #13095@80] Sensed 1 robots
[B: #13095@80] Received 0 messages
[B: #10120@81] Sensed 0 robots
[B: #11096@81] Can sense kingLoc [55, 28] ? false at distSquared 1261
[B: #10819@81] Sensed 0 robots
[B: #13990@81] Can sense kingLoc [53, 30] ? false at distSquared 82
[B: #11456@81] Sensed 0 robots
[B: #11061@81] Can sense kingLoc [55, 28] ? false at distSquared 333
[B: #12806@81] Sensed 2 robots
[B: #12806@81] Received 0 messages
[B: #10072@81] Can sense kingLoc [55, 28] ? false at distSquared 634
[B: #11028@81] Sensed 0 robots
[B: #10105@81] Found a cheese mine at [37, 33]
[B: #10105@81] Going straight to cheese mine at [37, 33]
[B: #12917@81] Sensed 0 robots
[B: #11406@81] Can sense kingLoc [55, 28] ? false at distSquared 169
[B: #11118@81] Sensed 0 robots
[B: #13095@81] Sensed 0 robots
[B: #10120@82] Sensed 0 robots
[B: #11096@82] Can sense kingLoc [55, 28] ? false at distSquared 1165
[B: #10819@82] Sensed 0 robots
[B: #13990@82] Can sense kingLoc [53, 30] ? false at distSquared 82
[B: #11456@82] Sensed 0 robots
[B: #11061@82] Can sense kingLoc [55, 28] ? false at distSquared 298
[B: #12806@82] Sensed 0 robots
[B: #10072@82] Can sense kingLoc [55, 28] ? false at distSquared 585
[B: #11028@82] Sensed 0 robots
[B: #10105@82] Going straight to cheese mine at [37, 33]
[B: #12917@82] Sensed 0 robots
[B: #11406@82] Can sense kingLoc [55, 28] ? false at distSquared 137
[B: #11118@82] Sensed 0 robots
[B: #13095@82] Sensed 0 robots
[B: #12999@82] Sensed 1 robots
[B: #10120@83] Sensed 0 robots
[B: #11096@83] Can sense kingLoc [55, 28] ? false at distSquared 1165
[B: #10819@83] Sensed 0 robots
[B: #13990@83] Can sense kingLoc [53, 30] ? false at distSquared 65
[B: #11456@83] Sensed 0 robots
[B: #11061@83] Can sense kingLoc [55, 28] ? false at distSquared 265
[B: #12806@83] Sensed 0 robots
[B: #10072@83] Can sense kingLoc [55, 28] ? false at distSquared 585
[B: #11028@83] Sensed 0 robots
[B: #10105@83] Found a cheese mine at [37, 33]
